secid,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-29,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30
11,0.001467812826561647,0.0012017759512903184,0.00026518136435789387,0.0006564336902767766,0.0006092531966539068,0.0006542781274593243,0.0005039129090904016,0.0007052563872405744,0.00041716327655289703,5.1697165255190205e-05,2.0314710661251193e-05,-3.924901361850106e-06,-0.0008337548632885012,0.002526369290724103,0.002066370827861718,-0.0015957207737244768,-0.003893470837958576,-0.0037799411072791237,-0.003818323996474053,-0.0035949467671820712,-0.0035511469374834384,-0.0037474106487393253,-0.002475986844303963,-0.002165663762617559,-0.002469550346852171,-0.0017730618595610931,,,-0.0007871304056411127,,,,0.0009125587345911651,0.002215276080485567,0.0006838859078077395,0.00023161011155048937,0.0006527503801611863,-5.3092242705270716e-05,-0.0001162164750629643,2.1182289097456323e-05,0.0003964373910595588,0.0006140889242864627,,0.000282623557660725,-0.00041862209068731443,0.00046371749792367423,5.3764222672027344e-05,,,,,,,,,,,,
12,0.0006967896387556006,-0.0005702224373876804,-0.00123283266272936,-0.0013025243644042255,-0.0010857386280783213,-0.001431412830485567,-0.001639936019049573,1.744146980486059e-05,-0.001035931756362817,-0.00013752735870144314,0.0007151308602117234,0.00017331539246274468,0.004475602421857535,1.6972529822287865e-06,0.0035287910137121203,-0.0002993227586103833,0.0016118912256322506,0.001446493378242605,-0.000467480505599364,-0.00046913983273088705,0.0009538398683093998,0.0001214271389554222,-0.0009909453965586906,-0.00154115981470385,-0.0004722386604024658,-0.0003463955464250352,-0.0001226167632054423,0.0005518077192664823,1.1656403318783593e-05,8.187087281519584e-07,-0.00015454490680619326,-0.0012527509440339842,-0.0007561320675965283,-0.0010677380032657988,-0.0010361656948334175,-0.0009001504207448297,-0.0004423039442796912,-0.0005594016470410286,-0.0011954470449262742,-0.001240526718889119,-0.0012171593644773944,-0.0008582311051760907,-0.0010504746164273601,-0.0006647927929014657,-0.0008141450318562635,-0.0010793517039889404,-0.0013600623401575686,-0.000902397453298143,-0.001465320046794602,-0.002225529928403192,-0.0022719598962851035,-0.0016823728533188712,-0.0008720278646648218,-0.0016298427346102652,-0.0016732888960853305,,-0.0013383882703293945,-0.000983028809928081,-0.0013094566839900216
13,-0.0002984502411901511,0.00012371953486633078,-0.00020689020403172922,0.0003486529340595576,0.0003753047794724149,0.0004524071215106627,0.00015264665059571528,0.0001576775004517522,0.0008506687950668535,-0.00013848678472103062,0.000688352548766835,0.0015556811621538114,-0.000712601292540203,0.0004387861772217434,0.0001790612915441746,-0.00052692604619471,0.0014069255168204936,3.931344996922049e-05,0.0007642562175932451,-0.0006583848454185969,0.0004399527678926727,-0.0009654518780857406,-0.0013093137707877421,-0.0005991609884008442,0.002137549333407641,0.0019116490611120497,0.002909079985266503,0.0021385226507685193,0.0021063061729581843,0.0028664160289503726,0.003121938624896671,0.002907329598091568,0.0023134613170833983,0.003377550835117589,0.003217168311238355,0.002731465819655186,0.001656546219322499,0.0008377397733699937,0.000797777233334379,0.0010126243826151756,-9.964136985728633e-05,-0.001296783109336663,-0.0009669328947824653,-0.0009967358150948316,-0.0010911929379401688,-0.0002627264204258742,6.9771036222121134e-06,-0.0003950664388136588,-0.0007872150155600646,-0.0012668985594060653,-0.0008763727207845919,-0.0003514671029625019,-0.0007322462581413245,-0.0009281623436909087,-0.0008494424678924918,-0.00034054907874007376,-0.0008730246592185863,-0.0010309219636707781,-0.0009529589522200239
14,-0.0005360155993351077,-0.0003218398231710376,-0.0012319145817934736,-0.0002873629752126775,-0.00032134292031696084,-0.00017511746207918234,-0.0003255370640264656,0.00013506629830851985,-9.571527608453866e-06,-0.0010628830967812006,5.266682234194616e-05,3.267231856355857e-05,-0.005083546451433608,-0.005890741294227831,-0.007203267402013679,-0.003560099970645436,-0.003655469689786191,-0.0042084330883118415,,-0.0011100032353085093,-0.0011497161318895523,-0.0016203857864218085,-0.0012382342988288538,,,,,,0.001014333424575069,,,-0.0006890378878045072,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.002267017589599053,0.0005116841943983131,-0.0017850284199199206,-0.0003026642723900195,-0.0014034437474946535,-0.0012211010437921178,-0.0008278592967678456,-0.003466556382920627,-0.0033394987941410444,-0.0011995223576323976,-0.002913632253877471,-0.003428251462482831,0.000894589691474957,0.0024171031981866237,0.0008685957710097865,0.0031967683135247357,0.0016785343624830824,0.003340633326280142,0.0017191652698925254,0.0013863979650237128,-0.0007525113702879979,-0.0012833912166686967,-0.0013737444008671816,-0.0011135059261910402,0.00023572936336666486,-0.002770047244687751,-0.005582050140941286,-0.005084010357030323,-0.0062241371966506535,-0.006554788161964965,-0.006930272038972663,-0.00713716644912529,-0.007128864494652818,-0.007450864093035841,-0.0073822243403454555,-0.007752735122428011,-0.007974856727645639,-0.008569045758498385,-0.008461656082509877,-0.008554735657480144,-0.006376940032625494,-0.0070762990826611204,-0.0077505821754766556,-0.00677764593532346,-0.007049295592841481,-0.006906988479987705,-0.00683927603960947,-0.006895514318221903,-0.006480656026130707,-0.002944737686736687,-0.0055807051186903345,-0.006822085183982445,-0.0028943826183921197,-0.0027665037324658332,-0.00356044659900501,-0.0036251564967095715,-0.005188476487759043,-0.000751118908812871,
17,0.001492130494534531,0.0012768329109852845,0.0003555909287864919,0.0008959080339118015,0.0016336801050845105,0.0015001781696264034,0.0013178643301281667,0.0022876214708122075,0.0016365925840362905,0.0019085254022710748,0.0025072942793715443,0.0022928039270814684,0.0038969827046451554,0.009040861099130762,0.006971378316090046,0.007424699460620228,0.0037950093489027277,0.003605082809668234,0.00376608590072583,0.001906985725208039,3.846886099155498e-05,-0.0002782315985376279,0.0019716083264246665,0.0026022067030544785,0.0009793225109002276,5.487595820363939e-05,0.00035874869606425516,0.0005271319201173778,-0.001400253447980603,-0.0015111929544641934,-0.0016928381344079053,-0.0019041117128033543,-0.0012117619777705815,-0.0014447320972783284,-0.0022132268987972003,-0.0018767771630125109,-0.0006054349838554793,-0.0010949521036662945,-0.0006488856844450063,0.0009131867949241478,0.0009482959953120175,0.0009929383047808916,1.4758467382159212e-05,0.001976636015302317,0.0015002471700082474,0.0015732501416854646,0.0013247664097710882,0.0009735531825827851,0.0009175911285092334,0.001717184471065709,0.002331793409454777,0.002066023212751711,0.0019299361342735523,0.002292081336476377,0.0033126761762201835,0.002054683582538036,0.0011825846747900866,0.0010354666884155692,0.0011530359414134313
18,-0.0019813492381150497,-0.00102511670675973,-0.0011104920826348758,-0.0009928732317504275,-0.0008672748782846583,-0.0006571922460780106,-0.0005267929065783294,-0.0010525446393170844,-0.0007910271064436401,-0.0007429534774092326,-0.0013356059354278612,-0.0012736681715379446,0.0015996985809569716,0.003309390334342718,0.0029755096288682967,0.004571817436158211,0.003707027332189128,0.00515398375081905,0.005110278961167539,0.008201845297574508,0.004949513239972625,0.003482086896195242,0.0019416221598731848,0.001005671923062117,,0.001181946279046401,0.0003965446700796191,-0.0008455162590247788,-0.0017037698995037898,-0.0018181410300693653,-0.0016805795825700644,-0.0020286315505975553,-0.0013574256940288752,-0.002560188745902026,-0.0026034516220292325,-0.0024562294082923998,-0.001853711020761742,-0.0022984164473454785,-0.0025295304661361756,-0.002443087662030805,-0.0005809508363605326,-0.0009529488893326597,-0.0018621766589172807,-0.0021660049403973767,-0.0023998913807725757,-0.0015706072167558595,-0.0013532319796037298,-0.0009254080177387633,-0.001642518503282932,-0.002086177257379818,-0.0021429572290301655,-0.00169353018616208,-0.002300663825553755,-0.0023187317321310442,-0.002292937586962847,-0.004452160165124173,-0.005027149856158924,-0.005048424975816675,-0.005183708252647931
19,0.00027615177283859247,0.00026470931310813053,-0.0007301353331889456,0.00041596606697714473,,,,,0.0002899066255217931,-0.0005797398871697263,0.0002614123812521847,0.0002928635559348992,-0.0006463249611714946,-0.0006461914345429632,-0.000488526614146287,8.109386254611841e-05,-0.00021060934522651548,-0.00035643777314587954,0.00019219132324046307,0.00012150645686141317,,-0.003285661244951613,-0.002514345074886035,-0.0028164465638752024,-0.0015534541640874664,-0.0013293618270929389,-0.0007039030285194253,,-0.0013294333972866394,-0.0013448630325944792,-0.0014832065490039163,,-0.0006908616524438711,0.00029407944018724347,-0.0012649001654769043,-0.0009672611638525908,,-0.0006357290432170068,,,,,,,,,-0.00192286638438462,,,,,,,,,,,,
20,0.0002670277768380014,-0.001000948990691544,-0.0014475107776868886,-0.001441471684847523,-0.0012230873830762381,-0.001564879347917196,-0.0018403026555154085,-0.00045778879169607777,-0.0012503262673549357,-0.0004780318594281416,0.00014955726894429875,-0.0002346910728602882,0.006621376945412049,-8.75097297825081e-06,0.007844490827792603,-0.00032730239237062033,0.004463039208178714,0.004337419258347041,-0.000525277127249323,-0.0005561435627852888,0.004358705639572754,0.0017055352114746355,-0.00036872117065187997,-0.0016055830477071137,0.0005270886261947203,0.0006835857191666633,0.0006010149458476543,0.0012044395858569886,0.00018556749795991414,0.0010771596420534673,0.001296791163197721,-0.0012117892841029862,0.0013022259365274547,-0.0010750483587003178,-0.0010784509949284342,-0.0009504928694306976,-0.0012482638418513186,-0.001074882273469884,-0.0026241291505865057,-0.002681527478704214,-0.00249418057394955,-0.0021121602375208763,-0.001236384268760036,-0.0019379604089503968,-0.001933382861392337,-0.0017181975695581312,-0.0015038865473217967,-0.0011708881595775575,-0.001634217223502137,-0.0026932522599294843,-0.0021849271938819254,-0.0017395879229979258,,-0.0024328175770422906,,,,-0.00228168031469491,-0.00140229520432131
21,-0.0004512558873391848,-0.00023660279437865415,-0.000573952694993517,-0.00014206873085329495,-0.00013217366833705494,9.753176176953998e-06,-9.21522806092482e-05,-0.00013851429129112407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.003239264408288604,0.0030193785715950973,0.003880589620146692,0.0033409380749613487,0.003540177405160565,0.0033111335366180564,0.0034509909463728314,0.0031780305581620132,0.003195508209674378,0.0037214577437283433,0.002740438034175786,0.0028504634337671707,-0.0035385772973828234,-0.0025831284841904985,-0.0026418784653228443,-0.0021677103049753703,-0.0016641725952939376,-0.00047072088311514394,-0.0002947899753179688,0.00030595305618758586,0.001374129852966358,0.002610096523772759,0.0034605846471367657,,0.0028389050956786352,0.0024825439565113695,0.0025837609214329838,0.0022140181600600398,0.0024247947251675177,0.0022651003980844195,0.002281645732230802,0.0019692173579620794,0.0022499818386224777,0.0027024950017225735,0.0021327160462007904,0.003819123809500046,0.0021627657081401863,0.0026339406818507343,0.00309578103740229,0.0031842099178107887,0.005118906878587154,0.004322983021121574,0.004762346014807068,0.0037871914082901275,0.0038188041483035906,0.002180635880250764,0.0021748878241290687,0.002693054392854698,0.0028609592737247748,0.0036909032490639137,0.001162782834270203,0.0005854264514623423,0.0004968721067502071,0.0006051846687338392,0.00038957321595682734,0.00018723073984850658,0.000518628582512387,0.00037109044399499016,0.00034507941237073433
23,-0.00018896586185597431,-0.002964913336708407,-0.0017139594242549703,-0.0011675741790117377,-0.0011999557367107113,,-0.0005379708355843012,-0.0014434790123421602,-0.0011070515369411683,-0.0006734512057033017,-0.004668208007444048,,,-0.005320894010510678,-0.005600377297224796,-0.006169889478206403,-0.003605157864618946,,-0.002852081742151935,,-0.0023643199211532463,-0.0015881207332562812,0.0014157366795518012,-0.0012545029099874877,0.00036162123283597366,0.001993716473571949,,0.002459998273381181,,-0.0008004838445450888,0.0005053383683088033,,,,,,,,,,,,,,,-0.012904188648336852,,,,,,,,,,-0.0021699122719918904,-0.0026773128596044443,-0.001786045886598884,-0.00017594264352164995
24,-0.0021838388230300074,-0.001037505763769495,-0.0013397591283905253,-0.0005899286784197696,-0.0006086468968767363,-0.0004293714671918332,-0.0006192410886996507,-0.0012994944430791435,-0.0007987801741702198,-0.0013009728021313271,-0.0011391262579812133,-0.0008430306639356788,0.0016217470787746899,0.003426601768204592,0.0026744724198997333,0.0005501805411595491,-0.002560816282624944,-0.00012561669967727578,-0.0005602524340866254,0.0005693248790316997,0.0010901608559374329,-0.0008071062672861797,-0.0023799588754182185,-0.002613662180867892,-0.0022464742236640517,-0.002078174798142093,-0.0017115221507034506,-0.0012725996417410656,-0.005033542427118965,-0.004497427120061919,-0.004705919453546456,-0.0047048569116609614,-0.005044165489015211,-0.005448994897018784,-0.006664049051145145,-0.006197390122419495,-0.00800085110038353,-0.0090513878722762,-0.008192712193475185,-0.007692442792499143,-0.008613274380560367,-0.00965731148450538,-0.008824700014260896,-0.009697007903030875,-0.008925583102410308,-0.009472377008999833,-0.00838687585389919,-0.007390383581859354,-0.007648632410371115,-0.006654542470075706,-0.011462256025996757,-0.012415555184256492,,,,,-0.006266032354576858,-0.0054824479035277054,-0.004993933439026917
25,-0.0002596387411074274,-0.0007009841163828779,-0.0005567054189860934,-0.0013630791135552892,-0.001380447202804175,-0.0009246070551515187,-0.00025850242352075284,-0.00041345410896105226,-0.0004951841082652286,4.3841380173921054e-05,-0.0008727955304097114,-0.0010087491593049256,-0.001823616246789342,0.0003788282980150899,0.0015678030411287976,0.0012704880648165546,0.0012165607211680693,0.00024510838811019764,-0.0007675340792473251,-0.0011779292267277953,-0.0018850163950389761,-0.0008497451615828264,-0.0011607768659196464,-0.0008074940641035587,-0.0015322221381472532,-0.0012026986844054872,-0.0022130424753997284,-0.003275195109101306,-0.002999294113370607,-0.0025062458281505315,-0.0025274456565944963,-0.002786348211458503,-0.0022309639545128185,-0.00307745710996358,-0.0020211705260924817,-0.002294701294698333,-0.002102405159588938,-0.0022372631935384637,-0.0007875405770297518,0.00026628663564123877,-0.00018155593768798603,-0.0008502822285523646,-0.0016107575704316494,-0.0014770429455998322,-0.0012594467520933524,-0.0017813208501060145,-0.001633858749244714,-0.0016551615686597452,-0.001905193734341772,-0.000791226658557582,-0.0013227659329419523,-0.00143813980610426,0.0006197139117610271,0.0007405595451684225,0.0004882407954825857,0.00044739539381908716,0.00023593314710573172,-0.00018359980098259232,-0.0008106704704854922
